algorithm,p,optimizer_reads,final_reads,maximum_iterations,initial_parameters,qiskit_parameter_names,result,reads,probability,surrogate_qubo_energy,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],73,1,0.001953125,467.8714187500093,443.82549999999986,not_in_gurobi_pool,,0001111100000001101,00010111100000000,000111110000000110100010111100000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],55,1,0.001953125,426.65851875000953,445.3608999999998,not_in_gurobi_pool,,1010100000110000110,00100000010000111,101010000011000011000100000010000111,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],63,1,0.001953125,450.291668749991,447.6198999999999,not_in_gurobi_pool,,0100001110100001011,00000001000000110,010000111010000101100000001000000110,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],58,1,0.001953125,439.7235937499936,447.73889999999983,not_in_gurobi_pool,,1100101010010110011,00000101110000001,110010101001011001100000101110000001,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],59,1,0.001953125,440.39759375000676,448.4128999999997,not_in_gurobi_pool,,0010110101011101000,10000100011100000,001011010101110100010000100011100000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],64,1,0.001953125,451.9736687500024,449.30189999999993,not_in_gurobi_pool,,0010000101000100111,00100100011000011,001000010100010011100100100011000011,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],60,1,0.001953125,442.3455937499973,450.36089999999984,not_in_gurobi_pool,,1100101101011101001,10000101110000000,110010110101110100110000101110000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],65,1,0.001953125,453.5042687499965,450.8324999999999,not_in_gurobi_pool,,0001101110010110011,00000111100000001,000110111001011001100000111100000001,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],72,1,0.001953125,464.891743749997,451.53290000000004,not_in_gurobi_pool,,1010101010111101011,00000100000000010,101010101011110101100000100000000010,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],56,1,0.001953125,436.0481187500111,454.75049999999976,not_in_gurobi_pool,,0001110011010100011,00000101010000011,000111001101010001100000101010000011,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],68,1,0.001953125,458.6167687500065,455.94500000000005,not_in_gurobi_pool,,0000111101111001000,11000101000001000,000011110111100100011000101000001000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],62,1,0.001953125,448.69309374999534,456.7084,not_in_gurobi_pool,,1011010111010000101,00000100010100000,101101011101000010100000100010100000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],69,1,0.001953125,459.4392687500049,456.76750000000015,not_in_gurobi_pool,,1001011101010000111,00000111100000111,100101110101000011100000111100000111,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],71,1,0.001953125,460.55076875000236,457.8789999999999,not_in_gurobi_pool,,1000010111011000111,01000101011000111,100001011101100011101000101011000111,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],66,1,0.001953125,453.51859374998935,461.53389999999985,not_in_gurobi_pool,,1100001011010000101,00000101110000000,110000101101000010100000101110000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],70,1,0.001953125,460.26681875000077,478.9692,not_in_gurobi_pool,,0010111000000100000,10010111010100000,001011100000010000010010111010100000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],67,1,0.001953125,453.59334375000526,482.98279999999977,not_in_gurobi_pool,,1001100101001110010,00100101010000001,100110010100111001000100101010000001,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],85,1,0.001953125,498.2031437500141,484.84429999999975,not_in_gurobi_pool,,0000110100101001100,01000000010001000,000011010010100110001000000010001000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],74,1,0.001953125,476.93189374997996,484.94719999999984,not_in_gurobi_pool,,1010011101001000000,10001111010100000,101001110100100000010001111010100000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],91,1,0.001953125,511.03501874997914,486.9891,not_in_gurobi_pool,,0110100110011000011,00101000011100111,011010011001100001100101000011100111,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],75,1,0.001953125,479.5889937500092,487.60429999999985,not_in_gurobi_pool,,1000001000100100111,01000101000000011,100000100010010011101000101000000011,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],76,1,0.001953125,480.54589375000387,488.56119999999976,not_in_gurobi_pool,,0100001100101000100,00000001000000000,010000110010100010000000001000000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],77,1,0.001953125,482.76299374999644,490.7782999999998,not_in_gurobi_pool,,0000000001001010101,01100101011000000,000000000100101010101100101011000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],89,1,0.001953125,504.1781437500056,490.81929999999966,not_in_gurobi_pool,,0000111101001110010,01000111110000001,000011110100111001001000111110000001,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],78,1,0.001953125,483.2638937499928,491.27919999999995,not_in_gurobi_pool,,0100001101000101011,00000101110000010,010000110100010101100000101110000010,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],79,1,0.001953125,483.33039375000567,491.34569999999997,not_in_gurobi_pool,,0011100001010100011,00100100010000011,001110000101010001100100100010000011,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],96,1,0.001953125,516.6382187500044,492.5923,not_in_gurobi_pool,,0000111101100000011,01001101000001111,000011110110000001101001101000001111,true,single,36,1.0e-10,64
