source_summary,algorithm,run_label,time_basis_column,time_basis_sec,event,hits,total_reads,hit_rate,hit_rate_wilson95_low,hit_rate_wilson95_high,tts95_sec
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74015;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.154812904,top50,3,32768,9.1552734375e-05,3.11366690761e-05,0.000269165614305,2.15165643979
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74015;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.154812904,top10,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74015;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.154812904,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74016;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.120418189,top50,3,32768,9.1552734375e-05,3.11366690761e-05,0.000269165614305,2.11731210767
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74016;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.120418189,top10,2,32768,6.103515625e-05,1.67382009031e-05,0.000222536080664,3.17603287153
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74016;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.120418189,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74017;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.073735156,top50,1,32768,3.0517578125e-05,5.38712220871e-06,0.000172859157544,6.21228223018
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74017;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.073735156,top10,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74017;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.073735156,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74018;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.118166428,top50,23,32768,0.000701904296875,0.000467781784711,0.00105308053495,0.275824467416
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74018;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.118166428,top10,8,32768,0.000244140625,0.000123717139704,0.000481725152747,0.79314886693
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74018;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.118166428,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74019;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.103079813,top50,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74019;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.103079813,top10,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74019;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.103079813,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74020;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.151434842,top50,1,32768,3.0517578125e-05,5.38712220871e-06,0.000172859157544,6.4450469481
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74020;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.151434842,top10,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74020;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.151434842,global,0,32768,0,0,0.000117218277939,Inf
