angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],47,1,0.0078125,1046.3610999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100011100100100111,010001110010010011101001110000011010,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],48,1,0.0078125,1050.0530999999996,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010111110001110111,001011111000111011110000111000101111,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],49,1,0.0078125,1054.6785999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101111101010100101,110111110101010010101011111010010110,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],50,1,0.0078125,1084.5832999999998,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110001000111000011,111000100011100001101111010011001001,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],51,1,0.0078125,1100.0398999999998,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101101101110000101,110110110111000010100010111111001010,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],52,1,0.0078125,1127.5641999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0011110100101001111,001111010010100111110000010011110010,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],53,1,0.0078125,1135.9343,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001100110011101101,000110011001110110100011100001000010,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],54,1,0.0078125,1138.1541999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0011101000111100110,001110100011110011000001000010100001,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],55,1,0.0078125,1157.7184999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011100100101000000,101110010010100000010011111101010010,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],56,1,0.0078125,1165.6774999999993,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0011111100101000001,001111110010100000111011100111011000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],57,1,0.0078125,1169.7878999999994,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0110100100101010111,011010010010101011101100010010100010,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],58,1,0.0078125,1203.6417999999994,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101101000000110000,110110100000011000010101000100101000,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],59,1,0.0078125,1221.0122999999994,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100110110111000111,110011011011100011100011111101100001,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],60,1,0.0078125,1252.7510999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011110110100101011,101111011010010101101101000010110101,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],61,1,0.0078125,1267.5764999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0110111100111101111,011011110011110111110110010001111001,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],62,1,0.0078125,1311.7018999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010010101011101110,001001010101110111011011010101010001,true,single,36,1.0e-10,64
