angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],47,1,0.0078125,526.6685999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000000010010000011,100000001001000001100101101011010001,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],48,1,0.0078125,528.9489999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011101000110000011,101110100011000001100000100000101110,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],49,1,0.0078125,529.6685999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000010010010000011,000001001001000001101000101000000010,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],50,1,0.0078125,533.3234999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100101010011000000,010010101001100000010001000001000001,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],51,1,0.0078125,540.2255999999999,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000110111010010011,000011011101001001101000010100101101,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],52,1,0.0078125,562.0597999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101100000000010,101010110000000001000000101110001101,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],53,1,0.0078125,563.2238999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000110100010000010,100011010001000001000101010110000110,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],54,1,0.0078125,563.2527999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100100000011000011,110010000001100001100010001001001001,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],55,1,0.0078125,563.2637999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010100000011000011,101010000001100001100010011111010011,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],56,1,0.0078125,564.5537999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100100110001001011,110010011000100101100001001000000101,true,single,36,1.0e-10,64
