p,optimizer_reads,final_reads,maximum_iterations,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],63,1,0.001953125,354.50139999999976,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,11101000010000000,000000010011000000111101000010000000,183.50819999999976,170.9932,4,,0000000100110000001,000000010011000000101100000000000010,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],64,1,0.001953125,355.0862999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000100011100010,101011010100110101100000100011100010,226.84139999999962,128.2449000000001,7,,1010110101001101011,101011010100110101100100010011010111,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],65,1,0.001953125,355.2618999999998,5.684341886080802e-14,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00110101010000000,100100000001000010100110101010000000,184.2686999999998,170.99319999999994,4,,1001000000010000101,100100000001000010101010101100000000,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],66,1,0.001953125,357.34239999999977,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,11001101011000000,000011011001100000111001101011000000,143.6008999999998,213.74149999999997,5,,0000110110011000001,000011011001100000111010101010010010,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],67,1,0.001953125,358.6753999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01001101011000111,000001011001100001101001101011000111,144.93389999999982,213.74149999999997,7,,0000010110011000011,000001011001100001100000011011000000,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],68,1,0.001953125,358.67539999999985,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01001101011000111,000001011001100001101001101011000111,144.93389999999982,213.74149999999992,5,,0000010110011000011,000001011001100001101000110011010011,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],69,1,0.001953125,359.2282999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00001001011100111,110011000101000001100001001011100111,188.2350999999997,170.99320000000012,6,,1100110001010000011,110011000101000001101011000010010111,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],70,1,0.001953125,359.8673999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01000000010001101,100001011011101001101000000010001101,231.62249999999966,128.24490000000003,3,,1000010110111010011,100001011011101001101100000010001011,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],71,1,0.001953125,360.5928999999999,0.0,gurobi_pool,gurobi_pool,projection_only_gurobi_pool,false,00000101010000110,100111010101100101100000101010000110,18.606499999999983,341.9863999999999,8,18.6065,1001110101011001011,100111010101100101100101111110100001,true,single,36,1.0e-10,64
2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],72,1,0.001953125,360.8663999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,11001101011000000,000011010101000000111001101011000000,147.1248999999998,213.74149999999992,5,,0000110101010000001,000011010101000000110011101110001000,true,single,36,1.0e-10,64
