algorithm,seed,result,reads,probability,surrogate_qubo_energy,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits,optimizer_reads,final_reads,maximum_iterations,initial_parameter_count,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
VQE_reduced_surrogate,73005,1977,2,0.000244140625,585.4976687500025,582.8258999999999,not_in_gurobi_pool,,0000001110100001111,01000101000000110,000000111010000111101000101000000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2076,2,0.000244140625,599.3286937499963,607.3440000000002,not_in_gurobi_pool,,0110111100001010000,10010101010110000,011011110000101000010010101010110000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2128,2,0.000244140625,607.3602937500002,615.3755999999996,not_in_gurobi_pool,,1101111001001100010,00000101100100011,110111100100110001000000101100100011,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2131,2,0.000244140625,607.8922937500106,615.9076,not_in_gurobi_pool,,1101011101001001011,00000101100100110,110101110100100101100000101100100110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2227,2,0.000244140625,623.2493687499971,620.5775999999998,not_in_gurobi_pool,,1101100010011001110,00100001010000110,110110001001100111000100001010000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2165,2,0.000244140625,614.055293750009,622.0706,not_in_gurobi_pool,,1101011101010001011,00000101100100110,110101110101000101100000101100100110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2240,2,0.000244140625,624.7734687500179,622.1016999999997,not_in_gurobi_pool,,0001100001110001000,10100000000000000,000110000111000100010100000000000000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2477,2,0.000244140625,656.8457437500019,643.4869,not_in_gurobi_pool,,1101100000001011000,10110001010000000,110110000000101100010110001010000000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2303,2,0.000244140625,633.5885187500055,652.2908999999999,not_in_gurobi_pool,,1101111000100001010,00000001000101110,110111100010000101000000001000101110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2412,2,0.000244140625,648.8765937499991,656.8918999999999,not_in_gurobi_pool,,1101111001001010001,10000101100100000,110111100100101000110000101100100000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2591,2,0.000244140625,670.8653437500072,657.5065,not_in_gurobi_pool,,0000111000000000110,01010111110000111,000011100000000011001010111110000111,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2519,2,0.000244140625,662.1676687500112,659.4959000000001,not_in_gurobi_pool,,1101111001001011011,00000101100100100,110111100100101101100000101100100100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2432,2,0.000244140625,651.8690937500041,659.8843999999998,not_in_gurobi_pool,,1010110010110110011,00000000010101001,101011001011011001100000000010101001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2453,2,0.000244140625,653.6350937499994,661.6503999999999,not_in_gurobi_pool,,0010011000111110011,00000100000101001,001001100011111001100000100000101001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2635,2,0.000244140625,676.139743749995,662.7808999999999,not_in_gurobi_pool,,1101100001110010010,00100000000000101,110110000111001001000100000000000101,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2639,2,0.000244140625,676.5707437500005,663.2118999999999,not_in_gurobi_pool,,1101100001110001010,00100000000000110,110110000111000101000100000000000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2457,2,0.000244140625,655.2985937500102,663.3139,not_in_gurobi_pool,,1101111110110001000,10000001000101000,110111111011000100010000001000101000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2461,2,0.000244140625,655.6845937500034,663.6998999999998,not_in_gurobi_pool,,0101010101011011010,00000001010100100,010101010101101101000000001010100100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2557,2,0.000244140625,667.5206687500083,664.8488999999997,not_in_gurobi_pool,,1101111111000001010,00000101100100110,110111111100000101000000101100100110,128,8192,25,152,true,single,36,1.0e-10,64
