p,sigma,trial,seed,number_of_reads,maximum_iterations,initial_parameters,base_fixed_angle_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],36,1,0.0078125,830.3005999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000101110000000,110010101001010000010000101110000000,360.0692999999999,470.2312999999999,9,,1100101010010100000,110010101001010000011010010000100100,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],37,1,0.0078125,833.4125999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000111010100000,001011111001001000110000111010100000,405.92959999999994,427.48299999999995,10,,0010111110010010001,001011111001001000111011011101001010,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],38,1,0.0078125,865.4508999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10100001011000000,110000000100010000110100001011000000,352.47129999999976,512.9795999999999,10,,1100000001000100001,110000000100010000101000110110100100,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],39,1,0.0078125,869.6463999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100001010000101,110110011001001001000100001010000101,442.1633999999996,427.483,8,,1101100110010010010,110110011001001001001011010000000001,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],40,1,0.0078125,872.3398999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100000010000000,110010000011001010000100000010000000,402.10859999999974,470.2313,7,,1100100000110010100,110010000011001010000010000000111010,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],41,1,0.0078125,873.9564999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000101000000000,100110110110001000110000101000000000,531.9700999999997,341.9864000000001,6,,1001101101100010001,100110110110001000101001001100000010,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],42,1,0.0078125,874.4698999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101110100111,110011111000000011100000101110100111,361.4902999999997,512.9796,10,,1100111110000000111,110011111000000011110000000000010000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],43,1,0.0078125,876.6207999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000101010100000,011010111001000100110000101010100000,534.6343999999998,341.9864,10,,0110101110010001001,011010111001000100101011011001110010,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],44,1,0.0078125,925.1706999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101100000000,010100111001000010000000101100000000,583.1842999999998,341.9863999999999,6,,0101001110010000100,010100111001000010001011001110000010,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],45,1,0.0078125,926.1302999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,01000101011000010,000011011101110101101000101011000010,327.6540999999995,598.4762000000001,10,,0000110111011101011,000011011101110101111111000010001001,true,single,36,1.0e-10,64
