algorithm,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
QAOA,39,1,0.015625,1609.4239999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100110110110101100,010011011011010110000111100010101011,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000010101000,010011011011010110000000000010101000,925.4511999999995,683.9728,6,false,false,
QAOA,40,1,0.015625,1643.2137999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011100000111011101,101110000011101110111111100100101110,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000000000000,101110000011101110100100000000000000,788.2477999999996,854.9659999999999,10,false,false,
QAOA,41,1,0.015625,1644.6867999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101111001100100011,110111100110010001110101101111100000,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000101011,110111100110010001100000001000101011,875.2173999999995,769.4694,10,false,false,
QAOA,42,1,0.015625,1646.0437999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101010110010011100,110101011001001110001011001000001001,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001010100000,110101011001001110000000001010100000,1004.8192999999997,641.2244999999998,7,false,false,
QAOA,43,1,0.015625,1647.5972999999994,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010001000011101100,001000100001110110011001101100001011,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010111010000000,001000100001110110000010111010000000,878.1278999999997,769.4693999999997,10,false,false,
QAOA,44,1,0.015625,1663.6297999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0011101111011101100,001110111101110110000111110101010100,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111000000000,001110111101110110000000111000000000,1065.1535999999996,598.4762000000001,8,false,false,
QAOA,45,1,0.015625,1692.6690999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101001010101010101,010100101010101010100000000011100001,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000000000,010100101010101010100000001000000000,1222.4377999999997,470.2312999999999,5,false,false,
QAOA,46,1,0.015625,1697.2440999999994,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101011110011001111,010101111001100111111111110101111000,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101100100110,010101111001100111100000101100100110,842.2780999999995,854.9659999999999,12,false,false,
QAOA,47,1,0.015625,1726.5758999999994,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100011110100011000,110001111010001100001101000111011001,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000001000101000,110001111010001100010000001000101000,1085.3513999999996,641.2244999999998,11,false,false,
QAOA,48,1,0.015625,1727.1433999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101011000001011100,010101100000101110001000011101100000,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010101100100000,010101100000101110000010101100100000,1513.4018999999994,213.7415000000001,5,false,false,
