angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],36,1,0.0078125,757.3780999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000101010110000101,000010101011000010110110111001000000,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000101000000000,000010101011000010101000101000000000,415.3916999999997,341.9864,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],37,1,0.0078125,784.0132999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010001110101000000,101000111010100000001011100010001000,true,single,36,1.0e-10,64,not_in_gurobi_pool,10001100000000000,101000111010100000010001100000000000,484.7751999999998,299.2380999999998,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],38,1,0.0078125,789.9068999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001011110010000001,000101111001000000110011011101110100,true,single,36,1.0e-10,64,not_in_gurobi_pool,10001111100000000,000101111001000000110001111100000000,447.9204999999997,341.9863999999999,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],39,1,0.0078125,790.9162999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100100110011100110,110010011001110011000010010001000000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100001011000011,110010011001110011000100001011000011,491.67819999999983,299.23810000000003,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],40,1,0.0078125,830.4125999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010011110011010000,101001111001101000010100010000001100,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000111001100000,101001111001101000010000111001100000,445.67789999999957,384.7347,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],41,1,0.0078125,833.5585999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100100010110001011,010010001011000101100110010001000101,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000010000110,010010001011000101100100000010000110,491.5721999999997,341.9863999999999,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],42,1,0.0078125,834.9445999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100010110111000101,110001011011100010101011100011011110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000010101000,110001011011100010100000000010101000,364.71329999999966,470.2312999999999,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],43,1,0.0078125,836.7116999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000001110100000100,000000111010000010000000010001100011,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000011000000000,000000111010000010001000011000000000,494.7252999999997,341.9864,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],44,1,0.0078125,866.9494999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001101100011100001,100110110001110000111100011011010010,true,single,36,1.0e-10,64,not_in_gurobi_pool,10010111100000000,100110110001110000110010111100000000,311.22159999999985,555.7278999999999,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],45,1,0.0078125,875.1898999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010111100011100110,101011110001110011001110110001011010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010110101100011,101011110001110011000010110101100011,575.9517999999996,299.23810000000014,7,false,false,
