angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],31,1,0.0078125,653.0112999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110110110101010011,111011011010101001100000000001010100,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000001111101,111011011010101001100000000001111101,524.7663999999996,128.24490000000003,3,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],32,1,0.0078125,657.5588999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101110110000000100,010111011000000010000000101000000011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001010100000,010111011000000010000000001010100000,443.81739999999974,213.74150000000003,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],33,1,0.0078125,660.3764999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000010110111011010,100001011011101101000000001010100000,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000000010001100,100001011011101101001000000010001100,446.63499999999965,213.74149999999997,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],34,1,0.0078125,663.4993999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100101110111110001,110010111011111000110000000000011000,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000000100000000,110010111011111000110000000100000000,535.2544999999999,128.24489999999992,3,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],35,1,0.0078125,696.1465999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0110110110001110011,011011011000111001100000011010100000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000011110001,011011011000111001100000000011110001,482.4050999999996,213.7415000000002,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],36,1,0.0078125,701.6007,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101101001110010,101010110100111001000100010000001000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111010000001,101010110100111001000000111010000001,359.61429999999984,341.9864000000001,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],37,1,0.0078125,705.6615999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0110110110111110011,011011011011111001100000000001110000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000010111001,011011011011111001100000000010111001,620.1649999999995,85.49659999999994,4,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],38,1,0.0078125,706.4701999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101110110011000100,010111011001100010010000110100010000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001010100000,010111011001100010000000001010100000,449.9803999999997,256.48979999999995,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],39,1,0.0078125,707.6612999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001101110100100111,100110111010010011100100100100000101,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101000000011,100110111010010011100000101000000011,579.4163999999998,128.24489999999992,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],40,1,0.0078125,751.2150999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000001110100000100,000000111010000010000100000001001000,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000011000000000,000000111010000010001000011000000000,494.7252999999997,256.48979999999995,6,false,false,
