angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],34,1,0.0078125,883.3598999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100011111011000011,110001111101100001100011110100000011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001101110100111,110001111101100001100001101110100111,541.3734999999997,341.98640000000023,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],35,1,0.0078125,910.2380999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110111100010000011,111011110001000001101101101000111010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00011100110110111,111011110001000001100011100110110111,440.00679999999966,470.23130000000003,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],36,1,0.0078125,924.4930999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0110110101011010101,011011010101101010101010100100110100,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000011110000,011011010101101010100000000011110000,454.26179999999965,470.23130000000003,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],37,1,0.0078125,967.0309999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0011100111011000011,001110011101100001110110000101000110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00101010001000111,001110011101100001100101010001000111,625.0445999999996,341.9864000000001,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],38,1,0.0078125,971.0899999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101111111011011011,110111111101101101100011101110110001,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101100100100,110111111101101101100000101100100100,543.6069999999996,427.48300000000006,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],39,1,0.0078125,975.8464999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100111111011000110,110011111101100011000011001110011011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101110100111,110011111101100011000000101110100111,676.6083999999998,299.2380999999998,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],40,1,0.0078125,991.7862999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101000100100100011,010100010010010001110001100100100000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000000000011,010100010010010001100100000000000011,564.3032999999997,427.48299999999995,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],41,1,0.0078125,994.4327999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010100100101010100,101010010010101010001100001101010000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000010000000,101010010010101010000100000010000000,566.9497999999998,427.48299999999983,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],42,1,0.0078125,994.5552999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011100100101010101,101110010010101010110100110010101001,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000000000000,101110010010101010100100000000000000,609.8205999999998,384.73469999999975,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],43,1,0.0078125,999.2793999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001100100101001111,000110010010100111111001100100001110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000000000110,000110010010100111100100000000000110,529.0480999999997,470.2312999999999,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],44,1,0.0078125,1010.0306999999998,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0110101101010110011,011010110101011001100011101100000010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101001100001,011010110101011001100000101001100001,625.2959999999996,384.7347000000002,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],45,1,0.0078125,1010.3422999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0011000010110001101,001100001011000110100000000010010000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000000000000,001100001011000110100100000000000000,882.0973999999998,128.24489999999992,3,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],46,1,0.0078125,1041.4355999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011101000111010001,101110100011101000111110111101100100,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000100000000000,101110100011101000110000100000000000,400.2110999999997,641.2244999999998,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],47,1,0.0078125,1046.3610999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100011100100100111,010001110010010011101001110000011010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000101011,010001110010010011100000001000101011,618.8780999999997,427.48299999999995,8,false,false,
