algorithm,trial,seed,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,initial_parameters,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
QAOA,1,32001,36,1,0.0078125,828.2035999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010100100101001111,001010010010100111100011010000000110,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000010000110,001010010010100111100100000010000110,528.9654999999998,299.2380999999999,5,false,false,
QAOA,1,32001,37,1,0.0078125,829.7205999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100111100101010111,110011110010101011110010000101100110,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000101101,110011110010101011100000001000101101,487.73419999999976,341.9863999999999,8,false,false,
QAOA,1,32001,38,1,0.0078125,834.3675999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010001001010001000,101000100101000100010000100110110101,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000111010000000,101000100101000100010000111010000000,449.6328999999998,384.73470000000003,7,false,false,
QAOA,1,32001,39,1,0.0078125,834.3975999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101111000001000,101010111100000100010100010100101100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000111010000000,101010111100000100010000111010000000,492.41119999999984,341.98639999999995,8,false,false,
QAOA,1,32001,40,1,0.0078125,834.5410999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101101001011000010,110110100101100001000100110100101011,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001101100000111,110110100101100001000001101100000111,449.8063999999997,384.73469999999975,7,false,false,
QAOA,1,32001,41,1,0.0078125,839.4745999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010001110010110111,101000111001011011100010100100010101,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111010000001,101000111001011011100000111010000001,625.7330999999998,213.7415000000001,7,false,false,
QAOA,1,32001,42,1,0.0078125,867.4809999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000110100101010111,100011010010101011111110100111010101,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000000001001101,100011010010101011101000000001001101,439.9979999999997,427.48299999999995,8,false,false,
QAOA,1,32001,43,1,0.0078125,867.8774999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001001100000010101,100100110000001010101100100001000100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010111100000000,100100110000001010100010111100000000,440.39449999999977,427.48299999999995,8,false,false,
QAOA,1,32001,44,1,0.0078125,871.1859999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000101100001001100,000010110000100110011000111111001100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,01010111110000000,000010110000100110001010111110000000,571.9478999999998,299.23810000000014,5,false,false,
QAOA,1,32001,45,1,0.0078125,876.6028999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100111111001100001,110011111100110000110100111010100011,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000101101100000,110011111100110000110000101101100000,577.3647999999996,299.23810000000014,7,false,false,
QAOA,1,32001,46,1,0.0078125,877.0384999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001000010011001110,100100001001100111001101010101100100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100101010000110,100100001001100111000100101010000110,535.0520999999998,341.9864,10,false,false,
QAOA,1,32001,47,1,0.0078125,881.3787999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0110110111011001000,011011011101100100001100000110010000,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000000011110000,011011011101100100010000000011110000,539.3923999999995,341.98640000000023,6,false,false,
QAOA,1,32001,48,1,0.0078125,886.9148999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100001101111100101,110000110111110010100011000001101010,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000000000,110000110111110010100000001000000000,416.68359999999973,470.2312999999999,7,false,false,
QAOA,1,32001,49,1,0.0078125,905.4562999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000010100011110000,100001010001111000000111000111000001,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,11010101011000000,100001010001111000011010101011000000,563.4698999999996,341.9864000000001,8,false,false,
QAOA,1,32001,50,1,0.0078125,909.4721999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010110010100010010,101011001010001001001000011001001001,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000010101101,101011001010001001000000000010101101,610.2340999999997,299.2380999999999,7,false,false,
QAOA,1,32001,51,1,0.0078125,913.5411999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010100010000001110,101010001000000111001110001011100001,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100100011000110,101010001000000111000100100011000110,571.5547999999998,341.9863999999999,8,false,false,
QAOA,1,32001,52,1,0.0078125,914.3717999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110110101000100,100111011010100010000101100101100100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000000001000,100111011010100010000000000000001000,572.3853999999997,341.9864,8,false,false,
QAOA,1,32001,53,1,0.0078125,917.6031999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010111001001010010,001011100100101001001111100110101001,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111010100101,001011100100101001000000111010100101,532.8684999999998,384.7347,9,false,false,
QAOA,1,32001,54,1,0.0078125,921.1807999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001000011010001001,100100001101000100110010001001000110,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,10100101010000000,100100001101000100110100101010000000,621.9426999999997,299.2380999999999,7,false,false,
QAOA,1,32001,55,1,0.0078125,925.4222999999995,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000000110111101101,000000011011110110100100100101001000,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,01100000010000000,000000011011110110101100000010000000,754.4290999999996,170.9931999999999,6,false,false,
QAOA,1,32001,56,1,0.0078125,964.2520999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001101110101010111,100110111010101011100110100000001100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101000000101,100110111010101011100000101000000101,665.0139999999997,299.23810000000003,5,false,false,
QAOA,1,32001,57,1,0.0078125,977.8564999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100101111010101111,110010111101010111110000101111001010,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101110000010,110010111101010111100000101110000010,678.6184000000001,299.2380999999998,3,false,false,
QAOA,1,32001,58,1,0.0078125,1003.7427999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100100101110001001,110010010111000100101001100001010101,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,10100000010000000,110010010111000100110100000010000000,490.7631999999997,512.9795999999999,10,false,false,
QAOA,1,32001,59,1,0.0078125,1005.9277999999999,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101110111101000,101010111011110100011010100110011001,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000100000000000,101010111011110100010000100000000000,535.6964999999999,470.23130000000003,7,false,false,
QAOA,1,32001,60,1,0.0078125,1010.1002999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101101101000100111,010110110100010011110110100100011011,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101100000011,010110110100010011100000101100000011,582.6172999999998,427.48299999999983,6,false,false,
QAOA,1,32001,61,1,0.0078125,1012.1153999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001010101010110111,000101010101011011111000100001110001,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101010000001,000101010101011011100000101010000001,627.3806999999997,384.7347,7,false,false,
QAOA,1,32001,62,1,0.0078125,1014.5573999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001101111111010000,100110111111101000010100001101000000,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000101000000000,100110111111101000010000101000000000,758.0675999999997,256.48979999999995,4,false,false,
QAOA,1,32001,63,1,0.0078125,1017.9883999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001101111111001000,000110111111100100011001010100100000,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000101000000000,000110111111100100010000101000000000,804.2468999999996,213.7415000000001,7,false,false,
QAOA,1,32001,64,1,0.0078125,1035.7285999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011100000010011011,101110000001001101101100101010101111,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00110100010000100,101110000001001101100110100010000100,565.4972999999997,470.23130000000003,7,false,false,
QAOA,1,32001,65,1,0.0078125,1041.3550999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010000110001010111,101000011000101011111111000011001100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100100011000101,101000011000101011100100100011000101,485.6271999999998,555.7279,7,false,false,
QAOA,1,32001,66,1,0.0078125,1043.2620999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100100010101100101,110010001010110010100110000100000001,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000010000000,110010001010110010100100000010000000,786.7722999999996,256.48979999999983,4,false,false,
QAOA,1,32001,67,1,0.0078125,1050.1301999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000110111001001100,100011011100100110001101011001011000,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000101011000000,100011011100100110001000101011000000,750.8920999999996,299.23810000000003,7,false,false,
